,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%)
1 JANUARY - Warm Knitted Sweater - 1.54 - SINGLE PRODUCT,Warm Knitted Sweater,https://dd3662-08.myshopify.com/products/799690284593053696,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-51.42,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-51.42,-100.0,0.0,51.42,3030,215,7.095709570957095,0.0,0.0,0.0,,,
1 JANUARY - Cashmere and Wool Patchwork Print Sweater - 1.49 - SINGLE PRODUCT,Cashmere and Wool Patchwork Print Sweater,https://dd3662-08.myshopify.com/products/799690292369293312,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-51.49,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-51.49,-100.0,0.0,51.49,3923,83,2.1157277593678305,0.0,0.0,0.0,,,
1 JANUARY - Cozy Graphic Sweater - 1.59 - SINGLE PRODUCT,Cozy Graphic Sweater,https://dd3662-08.myshopify.com/products/799690288124657664,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-52.28,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-52.28,-100.0,0.0,52.28,5763,112,1.9434322401526982,0.0,0.0,0.0,,,
1 JANUARY - Soft Fur-lined Slippers - 1.55 - SINGLE PRODUCT,Soft Fur-lined Slippers,https://dd3662-08.myshopify.com/products/soft-fur-lined-slippersneed-to-delete,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-53.14,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-53.14,-100.0,0.0,53.14,4648,157,3.377796901893287,0.0,0.0,0.0,,,
2 JANUARY - Women's Leather Ankle Boots - 1.56 - SINGLE PRODUCT,Women's Leather Ankle Boots [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-39.61,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-39.61,-100.0,0.0,39.61,2070,99,4.782608695652174,0.0,0.0,0.0,,,
"2 JANUARY - Comfortable, Waterproof Cargo Pants - 1.56 - SINGLE PRODUCT","Comfortable, Waterproof Cargo Pants [No Sales Found]",,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-39.71,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-39.71,-100.0,0.0,39.71,1626,47,2.890528905289053,0.0,0.0,0.0,,,
2 JANUARY - Elegant Classic Wool Winter coat - 1.58 - SINGLE PRODUCT,Elegant Classic Wool Winter Coat,https://dd3662-08.myshopify.com/products/800080625129226240,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-49.57,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-49.57,-100.0,0.0,49.57,3942,77,1.9533231861998983,0.0,0.0,0.0,,,
2 JANUARY - Cherry Print Oversized Jacket - 1.53 - SINGLE PRODUCT,Cherry Print Oversized Jacket [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-50.71,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-50.71,-100.0,0.0,50.71,3295,84,2.549317147192716,0.0,0.0,0.0,,,
2 JANUARY - High Waisted Sculpting Cargo Pants - 1.60 - SINGLE PRODUCT,High Waisted Sculpting Cargo Pants [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-30.74,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-30.74,-100.0,0.0,30.74,1739,53,3.0477285796434734,0.0,0.0,0.0,,,
3 JANUARY - Warm Winter Wool Sweater - 1.37 - SINGLE PRODUCT,Warm Winter Wool Sweater,https://dd3662-08.myshopify.com/products/801107170488745984,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-40.59,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-40.59,-100.0,0.0,40.59,2495,88,3.527054108216433,0.0,0.0,0.0,,,
