,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%),Original Campaign,Product Count
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,Classic Herringbone Trousers [No Sales Found],,2024-12-23 00:00:00+00:00,2024-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.424,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.424,-100.0,0.0,23.424,1446.0,46.0,3.18118948824343,0.0,0.0,0.0,,,,,
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,Christmas Snowman Sweater [No Sales Found],,2024-12-23 00:00:00+00:00,2024-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-22.876799999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.876799999999996,-100.0,0.0,22.876799999999996,1657.0,24.0,1.448400724200362,0.0,0.0,0.0,,,,,
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,Elegant Wool Beret [No Sales Found],,2024-12-23 00:00:00+00:00,2024-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-27.043200000000002,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.043200000000002,-100.0,0.0,27.043200000000002,1070.0,29.0,2.710280373831776,0.0,0.0,0.0,,,,,
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,Stylish Striped Sports Tracksuit [No Sales Found],,2024-12-27 00:00:00+00:00,2025-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-26.7072,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.7072,-100.0,0.0,26.7072,1712.0,236.0,13.785046728971961,0.0,0.0,0.0,,,,,
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,Elegant Men's Fur-lined Winter Coat [No Sales Found],,2024-12-27 00:00:00+00:00,2025-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-15.1776,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.1776,-100.0,0.0,15.1776,1283.0,29.0,2.260327357755261,0.0,0.0,0.0,,,,,
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,Sparkling Long-sleeved Sequin Mini Dress [No Sales Found],,2024-12-27 00:00:00+00:00,2025-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-14.879999999999999,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.879999999999999,-100.0,0.0,14.879999999999999,739.0,20.0,2.706359945872801,0.0,0.0,0.0,,,,,
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,Classic Leather Jacket,https://dd3662-08.myshopify.com/products/822382575036137472,2024-12-30 00:00:00+00:00,2025-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-28.5216,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.5216,-100.0,0.0,28.5216,1661.0,172.0,10.355207706201083,0.0,0.0,0.0,,,,,
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,Casual Long-sleeved Men's Shirt [No Sales Found],,2024-12-30 00:00:00+00:00,2025-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-37.007999999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.007999999999996,-100.0,0.0,37.007999999999996,2384.0,334.0,14.01006711409396,0.0,0.0,0.0,,,,,
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,Men's Cashmere Sweater,https://dd3662-08.myshopify.com/products/799690274665136128,2024-12-31 00:00:00+00:00,2025-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-37.6896,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.6896,-100.0,0.0,37.6896,2386.0,357.0,14.962279966471081,0.0,0.0,0.0,,,,,
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,Stylish Button-down Cardigan [No Sales Found],,2024-12-31 00:00:00+00:00,2025-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-110.2176,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.2176,-100.0,0.0,110.2176,7442.0,931.0,12.5100779360387,0.0,0.0,0.0,,,,,
