campaign_name,campaign_id,impressions,clicks,spend,date_start,date_stop,age,gender,spend_eur
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,37,1,0.29,2023-07-27,2025-03-18,18-24,female,0.2784
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,62,1,0.48,2023-07-27,2025-03-18,18-24,male,0.4608
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,97,2,1,2023-07-27,2025-03-18,25-34,female,0.96
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,157,0,1.34,2023-07-27,2025-03-18,25-34,male,1.2864
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,4,0,0.05,2023-07-27,2025-03-18,25-34,unknown,0.048
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,55,1,0.73,2023-07-27,2025-03-18,35-44,female,0.7008
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,92,0,1.2,2023-07-27,2025-03-18,35-44,male,1.152
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,1,0,0.03,2023-07-27,2025-03-18,35-44,unknown,0.0288
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,37,1,1.3,2023-07-27,2025-03-18,45-54,female,1.248
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,58,2,0.91,2023-07-27,2025-03-18,45-54,male,0.8736
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,65,0,1.25,2023-07-27,2025-03-18,55-64,female,1.2
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,61,3,1.36,2023-07-27,2025-03-18,55-64,male,1.3056
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,499,26,10.6,2023-07-27,2025-03-18,65+,female,10.176
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,219,9,3.8,2023-07-27,2025-03-18,65+,male,3.6479999999999997
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,2,0,0.06,2023-07-27,2025-03-18,65+,unknown,0.0576
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,8,0,0.05,2023-07-27,2025-03-18,18-24,female,0.048
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,3,0,0.06,2023-07-27,2025-03-18,18-24,male,0.0576
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,1,0,0,2023-07-27,2025-03-18,18-24,unknown,0.0
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,18,0,0.14,2023-07-27,2025-03-18,25-34,female,0.13440000000000002
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,10,1,0.16,2023-07-27,2025-03-18,25-34,male,0.1536
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,31,0,0.55,2023-07-27,2025-03-18,35-44,female,0.528
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,6,0,0.04,2023-07-27,2025-03-18,35-44,male,0.0384
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,102,0,1.9,2023-07-27,2025-03-18,45-54,female,1.8239999999999998
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,13,2,0.15,2023-07-27,2025-03-18,45-54,male,0.144
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,360,2,5.11,2023-07-27,2025-03-18,55-64,female,4.9056
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,36,0,0.57,2023-07-27,2025-03-18,55-64,male,0.5471999999999999
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,2,0,0.01,2023-07-27,2025-03-18,55-64,unknown,0.0096
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,940,18,13.62,2023-07-27,2025-03-18,65+,female,13.075199999999999
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,122,1,1.47,2023-07-27,2025-03-18,65+,male,1.4112
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,5,0,0,2023-07-27,2025-03-18,65+,unknown,0.0
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,11,0,0.32,2023-07-27,2025-03-18,18-24,female,0.3072
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,2,0,0.01,2023-07-27,2025-03-18,18-24,male,0.0096
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,17,0,0.42,2023-07-27,2025-03-18,25-34,female,0.40319999999999995
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,4,0,0.04,2023-07-27,2025-03-18,25-34,male,0.0384
