campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,spend,impressions,clicks,ctr,cpc,date_start,date_stop,website_purchase_roas,spend_eur
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,BROAD 2,120214412769890719,AD 1,120214412769910719,2.39,116,9,7.758621,0.265556,2023-07-27,2025-03-18,,2.2944
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,BROAD 2,120214412769890719,AD 2,120214413641470719,4.05,333,8,2.402402,0.50625,2023-07-27,2025-03-18,,3.888
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,STACK 1,120214413649700719,AD 1,120214413649640719,0.89,93,2,2.150538,0.445,2023-07-27,2025-03-18,,0.8543999999999999
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,STACK 1,120214413649700719,AD 2,120214413649660719,0.92,67,2,2.985075,0.46,2023-07-27,2025-03-18,,0.8832
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,STACK 2,120214413649630719,AD 2,120214413649670719,1.83,145,4,2.758621,0.4575,2023-07-27,2025-03-18,,1.7568
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,BROAD 1,120214413649650719,AD 2,120214413649680719,12.34,591,20,3.384095,0.617,2023-07-27,2025-03-18,,11.8464
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,BROAD 1,120214413649650719,AD 1,120214413649690719,1.01,50,0,0,,2023-07-27,2025-03-18,,0.9696
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,STACK 2,120214413649630719,AD 1,120214413649710719,0.97,51,1,1.960784,0.97,2023-07-27,2025-03-18,,0.9311999999999999
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,STACK 2,120214413668600719,AD 1,120214413668540719,5.8,317,5,1.577287,1.16,2023-07-27,2025-03-18,,5.568
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,STACK 2,120214413668600719,AD 2,120214413909720719,0.94,135,0,0,,2023-07-27,2025-03-18,,0.9023999999999999
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,BROAD 2,120214413926140719,AD 1,120214413926110719,4.92,457,7,1.531729,0.702857,2023-07-27,2025-03-18,,4.723199999999999
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,STACK 1,120214413926150719,AD 2,120214413926130719,1.69,135,1,0.740741,1.69,2023-07-27,2025-03-18,,1.6223999999999998
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,BROAD 2,120214413926140719,AD 2,120214413926160719,2.22,161,3,1.863354,0.74,2023-07-27,2025-03-18,,2.1312
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,BROAD 1,120214413926120719,AD 2,120214413926170719,2.99,106,2,1.886792,1.495,2023-07-27,2025-03-18,,2.8704
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,STACK 1,120214413926150719,AD 1,120214413926180719,3.28,205,5,2.439024,0.656,2023-07-27,2025-03-18,,3.1487999999999996
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,BROAD 1,120214413926120719,AD 1,120214413926190719,1.99,141,1,0.70922,1.99,2023-07-27,2025-03-18,,1.9103999999999999
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,STACK 2,120214413972970719,AD 2,120214413973030719,1.79,59,0,0,,2023-07-27,2025-03-18,,1.7184
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,STACK 2,120214413972970719,AD 1,120214414007820719,0.46,41,0,0,,2023-07-27,2025-03-18,,0.4416
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,BROAD 2,120214414013050719,AD 2,120214414013010719,2.52,118,2,1.694915,1.26,2023-07-27,2025-03-18,,2.4192
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,STACK 1,120214414013000719,AD 1,120214414013020719,13.2,453,13,2.869757,1.015385,2023-07-27,2025-03-18,,12.671999999999999
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,STACK 1,120214414013000719,AD 2,120214414013040719,2.47,94,8,8.510638,0.30875,2023-07-27,2025-03-18,,2.3712
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,BROAD 1,120214414013030719,AD 1,120214414013060719,4.1,177,4,2.259887,1.025,2023-07-27,2025-03-18,,3.9359999999999995
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,BROAD 1,120214414013030719,AD 2,120214414013070719,2.64,87,2,2.298851,1.32,2023-07-27,2025-03-18,,2.5344
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,BROAD 2,120214414013050719,AD 1,120214414013080719,0.99,41,0,0,,2023-07-27,2025-03-18,,0.9503999999999999
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,STACK 1,120214499921940719,AD 1,120214499921920719,1.17,129,6,4.651163,0.195,2023-07-27,2025-03-18,,1.1232
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,STACK 1,120214499921940719,AD 2,120214500796170719,2.79,161,24,14.906832,0.11625,2023-07-27,2025-03-18,,2.6784
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,BROAD 2,120214500804970719,AD 1,120214500804940719,6.62,440,56,12.727273,0.118214,2023-07-27,2025-03-18,,6.3552
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,STACK 2,120214500804950719,AD 2,120214500804980719,0.01,2,0,0,,2023-07-27,2025-03-18,,0.0096
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,BROAD 1,120214500804960719,AD 2,120214500804990719,6.84,337,60,17.804154,0.114,2023-07-27,2025-03-18,,6.5664
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,BROAD 2,120214500804970719,AD 2,120214500805000719,8.78,513,74,14.424951,0.118649,2023-07-27,2025-03-18,,8.428799999999999
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,STACK 2,120214500804950719,AD 1,120214500805010719,0.68,69,6,8.695652,0.113333,2023-07-27,2025-03-18,,0.6528
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,BROAD 1,120214500804960719,AD 1,120214500805020719,0.93,61,10,16.393443,0.093,2023-07-27,2025-03-18,,0.8928
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,BROAD 2,120214501246530719,AD 1,120214501246630719,2.76,287,3,1.045296,0.92,2023-07-27,2025-03-18,,2.6495999999999995
