campaign_name,campaign_id,adset_name,adset_id,spend,impressions,clicks,ctr,cpc,date_start,date_stop,website_purchase_roas,spend_eur
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,BROAD 2,120214412769890719,6.44,449,17,3.786192,0.378824,2023-07-27,2025-03-18,,6.1824
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,STACK 2,120214413649630719,2.8,196,5,2.55102,0.56,2023-07-27,2025-03-18,,2.6879999999999997
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,BROAD 1,120214413649650719,13.35,641,20,3.120125,0.6675,2023-07-27,2025-03-18,,12.815999999999999
23 DECEMBER - Classic Herringbone Trousers - 1.60 - SINGLE PRODUCT,120214412769880719,STACK 1,120214413649700719,1.81,160,4,2.5,0.4525,2023-07-27,2025-03-18,,1.7376
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,STACK 2,120214413668600719,6.74,452,5,1.106195,1.348,2023-07-27,2025-03-18,,6.4704
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,BROAD 1,120214413926120719,4.98,247,3,1.214575,1.66,2023-07-27,2025-03-18,,4.7808
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,BROAD 2,120214413926140719,7.14,618,10,1.618123,0.714,2023-07-27,2025-03-18,,6.854399999999999
23 DECEMBER - Christmas Snowman Sweater- 1.54 - SINGLE PRODUCT,120214413668510719,STACK 1,120214413926150719,4.97,340,6,1.764706,0.828333,2023-07-27,2025-03-18,,4.771199999999999
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,STACK 2,120214413972970719,2.25,100,0,0,,2023-07-27,2025-03-18,,2.16
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,STACK 1,120214414013000719,15.67,547,21,3.839122,0.74619,2023-07-27,2025-03-18,,15.043199999999999
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,BROAD 1,120214414013030719,6.74,264,6,2.272727,1.123333,2023-07-27,2025-03-18,,6.4704
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,BROAD 2,120214414013050719,3.51,159,2,1.257862,1.755,2023-07-27,2025-03-18,,3.3695999999999997
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,STACK 1,120214499921940719,3.96,290,30,10.344828,0.132,2023-07-27,2025-03-18,,3.8015999999999996
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,STACK 2,120214500804950719,0.69,71,6,8.450704,0.115,2023-07-27,2025-03-18,,0.6623999999999999
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,BROAD 1,120214500804960719,7.77,398,70,17.58794,0.111,2023-07-27,2025-03-18,,7.459199999999999
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,BROAD 2,120214500804970719,15.4,953,130,13.641133,0.118462,2023-07-27,2025-03-18,,14.783999999999999
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,BROAD 2,120214501246530719,2.9,297,3,1.010101,0.966667,2023-07-27,2025-03-18,,2.784
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,BROAD 1,120214505076760719,5.76,414,8,1.932367,0.72,2023-07-27,2025-03-18,,5.529599999999999
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,STACK 1,120214505076810719,0.98,72,4,5.555556,0.245,2023-07-27,2025-03-18,,0.9408
