order_id,order_number,created_at,processed_at,customer_id,customer_email,total_price,subtotal_price,total_tax,total_discounts,total_shipping,currency,financial_status,fulfillment_status,payment_method,tags,note,cancelled_at,cancel_reason
5940763885656,1204,2025-03-17T07:18:14-04:00,2025-03-17T07:18:10-04:00,7830323920984,,57.94,54.95,0.0,0.0,2.99,EUR,paid,,paypal,,,,
5940749959256,1203,2025-03-17T06:49:15-04:00,2025-03-17T06:49:10-04:00,7830308618328,,80.91,80.91,0.0,8.99,0.0,EUR,paid,,paypal,,,,
5940741111896,1202,2025-03-17T06:28:28-04:00,2025-03-17T06:28:23-04:00,7830298361944,,84.95,84.95,0.0,0.0,0.0,EUR,paid,,paypal,,,,
5940695695448,1201,2025-03-17T05:18:35-04:00,2025-03-17T05:18:31-04:00,7830264741976,,476.7,476.7,0.0,92.95,0.0,EUR,paid,,shopify_payments,,,,
5940694941784,1200,2025-03-17T05:16:48-04:00,2025-03-17T05:16:45-04:00,7830263857240,,98.91,98.91,0.0,10.99,0.0,EUR,paid,,shopify_payments,,,,
5940680949848,1199,2025-03-17T04:58:57-04:00,2025-03-17T04:58:53-04:00,7830255796312,,47.94,44.95,0.0,0.0,2.99,EUR,paid,,shopify_payments,,,,
5940670791768,1198,2025-03-17T04:32:22-04:00,2025-03-17T04:32:20-04:00,7830236266584,,57.94,54.95,0.0,0.0,2.99,EUR,paid,,shopify_payments,,,,
5939862372440,1197,2025-03-16T12:11:16-04:00,2025-03-16T12:11:11-04:00,7829356019800,,47.94,44.95,0.0,0.0,2.99,EUR,paid,,shopify_payments,,,,
5939784712280,1196,2025-03-16T10:50:14-04:00,2025-03-16T10:50:11-04:00,7829256568920,,42.94,39.95,0.0,0.0,2.99,EUR,paid,,shopify_payments,,,,
5939758366808,1195,2025-03-16T10:20:16-04:00,2025-03-16T10:20:13-04:00,7829220098136,,84.95,84.95,0.0,0.0,0.0,EUR,paid,,paypal,,,,
